timestamp,temperature,humidity,smoke_concentration
2025-05-29 20:52:53.074982,24,40,88
2025-05-29 20:53:00.604832,24,40,88
2025-05-29 20:53:08.250550,24,40,88
2025-05-29 20:53:15.802989,24,40,88
2025-05-29 20:53:23.304979,24,40,88
2025-05-29 20:53:30.913580,24,40,88
2025-05-29 20:53:38.593444,24,40,88
2025-05-29 20:53:46.187634,24,40,88
2025-05-29 20:53:54.099306,24,40,88
2025-05-29 20:54:01.892809,24,40,88
2025-05-29 20:54:09.435830,24,40,88
2025-05-29 20:54:16.817667,24,40,88
2025-05-29 20:54:24.255357,24,40,88
2025-05-29 21:58:02.663309,24,40,88
2025-05-29 21:58:10.222757,24,40,88
2025-05-29 21:58:17.660303,24,40,88
2025-05-29 21:58:25.399802,24,40,88
2025-05-29 21:58:32.855981,24,40,88
2025-05-29 21:58:40.593530,24,40,88
2025-05-29 21:58:48.344681,24,40,88
2025-05-29 21:58:56.240216,24,40,88
2025-05-29 22:04:36.251210,24,40,88
2025-05-29 22:04:44.089422,24,40,88
2025-05-29 22:04:51.776737,24,40,88
2025-05-29 22:13:07.768151,24,40,88
2025-05-29 22:13:16.616745,24,40,88
2025-05-29 22:13:24.308272,24,40,88
2025-05-29 22:13:30.614207,24,40,88
2025-05-29 22:13:38.352695,24,40,88
2025-05-29 22:20:28.560748,24,40,88
2025-05-29 22:20:36.166919,24,40,88
2025-05-29 22:20:43.780901,24,40,88
2025-05-29 22:20:51.438449,24,40,88
2025-05-29 22:20:58.903154,24,40,88
2025-05-29 22:24:30.002655,24,40,88
2025-05-29 22:24:37.697359,24,40,88
2025-05-29 22:24:45.356998,24,40,88
2025-05-29 22:24:53.063242,24,40,88
2025-05-29 22:25:00.928379,24,40,88
2025-05-29 22:25:08.821904,24,40,88
2025-05-29 22:50:13.862610,24,40,88
2025-05-29 22:50:21.716426,24,40,88
2025-05-29 22:50:28.984278,24,40,88
2025-05-29 22:50:39.008817,24,40,88
2025-05-29 22:50:44.950914,24,40,88
2025-05-30 20:08:46.950593,24,40,88
2025-05-30 20:08:56.870429,24,40,88
2025-05-30 20:09:03.404067,24,40,88
2025-05-30 20:20:10.172945,24,40,88
2025-05-30 20:20:17.655516,24,40,88
2025-05-30 20:20:25.272997,24,40,88
2025-05-30 20:20:32.851354,24,40,88
2025-05-30 20:20:40.618699,24,40,88
2025-05-30 20:20:48.073927,24,40,88
2025-05-30 20:20:55.553778,24,40,88
2025-05-30 20:21:02.967431,24,40,88
2025-05-30 20:21:10.436146,24,40,88
2025-05-30 20:21:17.850382,24,40,88
2025-05-30 20:21:25.226196,24,40,88
2025-05-30 20:21:32.667157,24,40,88
2025-05-30 20:21:40.222230,24,40,88
2025-05-30 20:21:47.713796,24,40,88
2025-05-30 20:24:10.213635,24,40,88
2025-05-30 20:24:17.622937,24,40,88
2025-05-30 20:24:24.983446,24,40,88
2025-05-30 20:24:32.425839,24,40,88
2025-05-30 20:25:18.264160,24,40,88
2025-05-30 20:25:25.624840,24,40,88
2025-05-30 20:29:22.440482,24,40,88
2025-05-30 20:30:11.579284,24,40,88
2025-05-30 20:30:19.128147,24,40,88
2025-05-30 20:30:26.607858,24,40,88
2025-05-30 20:30:34.251942,24,40,88
2025-05-30 20:30:41.891083,24,40,88
2025-05-30 20:31:14.244183,24,40,88
2025-05-30 20:31:22.468251,24,40,88
2025-05-30 20:45:39.244941,24,40,88
2025-05-30 20:46:47.492944,24,40,88
2025-05-30 20:46:54.815019,24,40,88
2025-05-30 20:47:02.174037,24,40,88
2025-05-30 20:47:09.545281,24,40,88
2025-05-30 20:47:16.899723,24,40,88
2025-05-30 20:47:24.354191,24,40,88
2025-05-30 20:47:32.013176,24,40,88
2025-05-30 20:47:39.597220,24,40,88
2025-05-30 20:47:47.050020,24,40,88
2025-05-30 20:47:54.778437,24,40,88
2025-05-30 20:48:02.398452,24,40,88
2025-05-30 20:48:09.976935,24,40,88
2025-05-30 20:48:17.428690,24,40,88
2025-05-30 20:48:25.110721,24,40,88
2025-05-30 20:48:32.642600,24,40,88
2025-05-30 20:48:40.220856,24,40,88
2025-05-30 20:48:47.667636,24,40,88
2025-05-30 20:48:55.208506,24,40,88
2025-05-30 20:49:02.697806,24,40,88
2025-05-30 20:49:10.179496,24,40,88
2025-05-30 20:49:17.698672,24,40,88
2025-05-30 20:49:25.140291,24,40,88
2025-05-30 20:49:32.788368,24,40,88
2025-05-30 20:49:40.545415,24,40,88
2025-05-30 20:49:48.480870,24,40,88
2025-05-30 20:49:56.158415,24,40,88
2025-05-30 20:50:04.274984,24,40,88
2025-05-30 20:50:12.013821,24,40,88
2025-05-30 20:50:19.784372,24,40,88
2025-05-30 20:50:27.270748,24,40,88
2025-05-30 20:50:34.696756,24,40,88
2025-05-30 20:50:42.287750,24,40,88
2025-05-30 20:50:49.652642,24,40,88
2025-05-30 20:50:57.236783,24,40,88
2025-05-30 20:51:04.875985,24,40,88
2025-05-30 20:51:12.254328,24,40,88
2025-05-30 20:51:19.598840,24,40,88
2025-05-30 20:51:27.107680,24,40,88
2025-05-30 20:51:34.642401,24,40,88
2025-05-30 20:51:42.068508,24,40,88
2025-05-30 20:51:49.510877,24,40,88
2025-05-30 20:51:57.004566,24,40,88
2025-05-30 20:52:04.673186,24,40,88
2025-05-30 20:52:12.087689,24,40,88
2025-05-30 20:52:19.492916,24,40,88
2025-05-30 20:52:26.851139,24,40,88
2025-05-30 20:52:34.338379,24,40,88
2025-05-30 20:52:41.733029,24,40,88
2025-05-30 20:52:48.990683,24,40,88
2025-05-30 20:52:56.388146,24,40,88
2025-05-30 20:53:03.732373,24,40,88
2025-05-30 20:53:11.038202,24,40,88
2025-05-30 20:53:18.613502,24,40,88
2025-05-30 20:53:26.032439,24,40,88
2025-05-30 20:53:33.497113,24,40,88
2025-05-30 20:53:41.367339,24,40,88
2025-05-30 21:03:27.742609,24,40,88
2025-05-30 21:03:35.283940,24,40,88
2025-05-30 21:03:42.783227,24,40,88
2025-05-30 21:03:50.398293,24,40,88
2025-05-30 21:03:57.774296,24,40,88
2025-05-30 21:49:15.843379,24,40,88
2025-05-30 21:49:23.211235,24,40,88
2025-05-30 21:49:30.711233,24,40,88
2025-05-30 21:49:38.434296,24,40,88
2025-05-30 21:49:45.904329,24,40,88
2025-05-30 21:49:53.508174,24,40,88
2025-05-30 21:50:00.979600,24,40,88
2025-05-30 21:50:08.679748,24,40,88
2025-05-30 21:50:16.421931,24,40,88
2025-05-30 21:50:24.284158,24,40,88
2025-05-30 21:59:10.007518,24,40,88
2025-05-30 22:00:45.822052,24,40,88
